species,spp_hgt,a,b,c,d,e,f,eqn
ABBA,ABBA,35.14495230119106,0.023613803259310017,NA,-0.007792817,-2.79403565,-0.039996185,s
ACPE,ACPE,22.695499858345947,0.10262495083091644,NA,-0.014636679,-2.516898582,0.049722540455073294,s
ACRU,ACRU,32.82652686400041,0.065938755,NA,-0.016452785,-1.546764372,-0.035296624,s
ACSA,ACSA,31.994059844645186,0.06159085,NA,-0.013699933,-3.46276135,-0.091599871,s
ACSP,OTXX,34.57833436159675,0.064916652,NA,-0.030383274,-2.49370834,0.30093576386297466,s
AMSP,OTXX,34.57833436159675,0.064916652,NA,-0.030383274,-2.49370834,0.30093576386297466,s
COAL,OTXX,34.57833436159675,0.064916652,NA,-0.030383274,-2.49370834,0.30093576386297466,s
POGR,OTXX,34.57833436159675,0.064916652,NA,-0.030383274,-2.49370834,0.30093576386297466,s
POTR,OTXX,34.57833436159675,0.064916652,NA,-0.030383274,-2.49370834,0.30093576386297466,s
PRPE,OTXX,34.57833436159675,0.064916652,NA,-0.030383274,-2.49370834,0.30093576386297466,s
PRSE,OTXX,34.57833436159675,0.064916652,NA,-0.030383274,-2.49370834,0.30093576386297466,s
PRVI,OTXX,34.57833436159675,0.064916652,NA,-0.030383274,-2.49370834,0.30093576386297466,s
SAPU,OTXX,34.57833436159675,0.064916652,NA,-0.030383274,-2.49370834,0.30093576386297466,s
SASP,OTXX,34.57833436159675,0.064916652,NA,-0.030383274,-2.49370834,0.30093576386297466,s
OSVI,OTXX,34.57833436159675,0.064916652,NA,-0.030383274,-2.49370834,0.30093576386297466,s
PRSP,OTXX,34.57833436159675,0.064916652,NA,-0.030383274,-2.49370834,0.30093576386297466,s
BEAL,BEAL,30.518742426620257,0.07333868,NA,-0.013744944,-0.302764529,-0.079405077,s
BEPA,BEXX,32.214759138939264,0.073318626,NA,-0.018495399,0.1739553537038507,-0.089026609,s
BECO,BEXX,32.214759138939264,0.073318626,NA,-0.018495399,0.1739553537038507,-0.089026609,s
BEPO,BEPO,38.47361508795031,0.019682677,NA,0.053733873,30.840319755915566,-0.194000807,s
FAGR,FAGR,34.92244569665609,0.055253467,NA,-0.018449955,-0.289640486,-0.086897801,s
FRAM,FRXX,32.85520662824891,0.084321762,NA,-0.011186027,-5.545892119,-0.141812828,s
FRNI,FRXX,32.85520662824891,0.084321762,NA,-0.011186027,-5.545892119,-0.141812828,s
PIRU,PIRU,33.11455449866744,0.072512607,2.059509640923107,-0.01404175,-1.011603817,-0.032022323,cr
SOAM,SOAM,9.421922488371354,0.3612193681163411,5.723957757190694,0.005411885,2.9297149651356857,-0.165518337,cr
TSCA,TSCA,65.46853378994686,0.012499824490966519,NA,-0.046806699,-8.898071561,0.25816040512592503,s
UNKN,UNKN,32.02998305532144,0.064421216,NA,-0.015098602,-1.257783951,-0.082739537,s
TIAM,UNKN,32.02998305532144,0.064421216,NA,-0.015098602,-1.257783951,-0.082739537,s
PIST,UNKN,32.02998305532144,0.064421216,NA,-0.015098602,-1.257783951,-0.082739537,s
QURU,UNKN,32.02998305532144,0.064421216,NA,-0.015098602,-1.257783951,-0.082739537,s
